Unknown Number,Gene ID,Gene Type,LogFC,AveExpr,Gene Stable ID Ver,Gene name,Gene Type,Gene Start,Gene End
1860, ENSG00000212257.1, snRNA, 0.252258312185585, 2.11738010917208, ENSG00000212257.1,RNU6-1176P,snRNA,65022968,65023074,"RNA, U6 small nuclear 1176,
10400, ENSG00000244342.5, lincRNA, 0.279978201638775, 12.0156852824614, ENSG00000244342.5,LINC00698,lncRNA,62950430,63125062,
7625, ENSG00000234576.2, unprocessed_pseudogene, 0.343811280449766, -0.0285309872862329, ENSG00000234576.2,MTND1P26,unprocessed_pseudogene,131385700,131386314,
10506, ENSG00000244345.1, lincRNA, 0.351980730586428, -0.404851041284904, ENSG00000244345.1,,lncRNA,72504806,72550552,
18833, ENSG00000275550.1, processed_pseudogene, 0.358742395879571, -0.0162932516021306, ENSG00000275550.1,,processed_pseudogene,37295584,37295742,
11624, ENSG00000279305.1, TEC, 0.278884212714655, -1.01405744486569, ENSG00000279305.1,,TEC,154334809,154337047,
9528, ENSG00000207163.1, snRNA, 0.330447972012655, 0.879214562743717, ENSG00000207163.1,RNU6-905P,snRNA,14530982,14531088,"RNA, U6 small nuclear 905,
15879, ENSG00000264099.1, miRNA, 0.258465262933703, 1.14929108923191, ENSG00000264099.1,MIR4803,miRNA,72169467,72169540,
1440, ENSG00000232369.1, processed_pseudogene, 0.26182924358456, 0.536861305890766, ENSG00000232369.1,PPIAP35,processed_pseudogene,44988234,44988725,
6340, ENSG00000227791.3, processed_pseudogene, 0.264978858422694, -0.853756281440347, ENSG00000227791.3,RPS10P9,processed_pseudogene,64665607,64666064,
15035, ENSG00000249159.6, lincRNA, 0.276192706831172, 3.66295355547075, ENSG00000249159.6,,lncRNA,8387638,8457564,
15876, ENSG00000278824.1, processed_pseudogene, 0.330242248410465, -0.0554328080591542, ENSG00000278824.1,,processed_pseudogene,71754378,71756301,"catenin (cadherin-associated protein), beta 1,
14695, ENSG00000249084.1, antisense, 0.247600543834075, -0.382346780471395, ENSG00000249084.1,,lncRNA,177343004,177357032,
8097, ENSG00000252779.1, snRNA, 0.524620505763618, -1.62944895459875, ENSG00000252779.1,RNU6-182P,snRNA,171856566,171856670,"RNA, U6 small nuclear 182,
7133, ENSG00000279904.1, TEC, 0.250021261613055, -0.549272373386282, ENSG00000279904.1,,TEC,104706612,104707506,
12651, ENSG00000264931.1, miRNA, 0.294397567043896, 0.19100901863486, ENSG00000264931.1,MIR3138,miRNA,10078611,10078692,
4087, ENSG00000201312.1, rRNA_pseudogene, 0.281340866085753, -1.27895062163811, ENSG00000201312.1,RNA5SP72,rRNA_pseudogene,185014951,185015067,"RNA,
13002, ENSG00000239679.3, misc_RNA, 0.52198297367988, -0.603600270398157, ENSG00000239679.3,RN7SL193P,misc_RNA,43863274,43863549,"RNA, 7SL, cytoplasmic 193,
1178, ENSG00000252368.1, rRNA_pseudogene, 0.20884397856072, 3.35311492765463, ENSG00000252368.1,RNA5SP43,rRNA_pseudogene,37264677,37264786,"RNA,
2552, ENSG00000199710.1, misc_RNA, 0.278059096258456, 0.850219254203712, ENSG00000199710.1,Y_RNA,misc_RNA,110764408,110764506,
5244, ENSG00000230411.1, unprocessed_pseudogene, 0.288383156423733, 1.24958250989554, ENSG00000230411.1,OR3D1P,unprocessed_pseudogene,247666887,247667841,
8284, ENSG00000234595.1, antisense, 0.30016083255017, -1.41066795499485, ENSG00000234595.1,,lncRNA,181683113,181685707,
5642, ENSG00000206882.1, rRNA_pseudogene, 0.264872392494579, 0.0385821054055317, ENSG00000206882.1,RNA5SP87,rRNA_pseudogene,22338886,22339003,"RNA,
1441, ENSG00000268949.1, processed_pseudogene, 0.241785871999635, 1.40651456516212, ENSG00000268949.1,MRPS17P1,processed_pseudogene,44988705,44991834,
12781, ENSG00000251292.1, lincRNA, 0.281733121394995, 1.71173880786066, ENSG00000251292.1,ERVH-1,lncRNA,23723262,23733579,
790, ENSG00000238482.1, snRNA, 0.280388627495659, -1.3625265160905, ENSG00000238482.1,RNU6-1208P,snRNA,24777873,24777979,"RNA, U6 small nuclear 1208,
14549, ENSG00000244146.1, processed_pseudogene, 0.30390066790493, -1.00999643390035, ENSG00000244146.1,,processed_pseudogene,164920618,164921063,
14565, ENSG00000250430.1, processed_pseudogene, 0.281158718406543, 4.21839324052846, ENSG00000250430.1,,processed_pseudogene,165026261,165026944,
6968, ENSG00000228873.1, lincRNA, 0.236125571083407, 0.566739772784965, ENSG00000228873.1,,lncRNA,96145602,96147012,
16941, ENSG00000202515.1, misc_RNA, 0.278972629076613, -0.745805992030805, ENSG00000202515.1,VTRNA1-3,misc_RNA,140726158,140726246,
15627, ENSG00000251307.1, antisense, 0.224774232447034, 4.82656822980545, ENSG00000251307.1,CCNO-DT,lncRNA,55233934,55295201,
9190, ENSG00000231546.1, transcribed_processed_pseudogene, 0.301927367123606, 0.131654971211052, ENSG00000231546.1,RPL3P5,transcribed_processed_pseudogene,236407846,236409077,
9525, ENSG00000199609.1, rRNA_pseudogene, 0.270374014647299, 1.5417786604298, ENSG00000199609.1,RNA5SP124,rRNA_pseudogene,14394648,14394757,"RNA,
2881, ENSG00000276216.1, lincRNA, 0.217955045964785, -0.13922468112521, ENSG00000276216.1,,lncRNA,145281116,145281462,
15280, ENSG00000249616.1, processed_pseudogene, 0.323006567113192, -0.488295700384084, ENSG00000249616.1,CCNB3P1,processed_pseudogene,26739753,26741183,
3162, ENSG00000226716.1, antisense, 0.27071584324043, -0.671207010722183, ENSG00000226716.1,,lncRNA,152122534,152125065,
9340, ENSG00000214073.2, processed_pseudogene, 0.324389098545569, -1.38783540771638, ENSG00000214073.2,RPL21P17,processed_pseudogene,1905651,1906125,
12772, ENSG00000244538.1, processed_pseudogene, 0.197837810838277, 2.33466607494007, ENSG00000244538.1,,processed_pseudogene,22594196,22594450,
2012, ENSG00000199921.1, snRNA, 0.210613775811521, 1.38199087748255, ENSG00000199921.1,RNU6-161P,snRNA,76753135,76753240,"RNA, U6 small nuclear 161,
9173, ENSG00000226542.1, lincRNA, 0.259281710802829, 0.44307277050424, ENSG00000226542.1,,lncRNA,235084822,235088586,
7903, ENSG00000282440.1, lincRNA, 0.217627933203816, 0.715587454055941, ENSG00000282440.1,,lncRNA,156305108,156320255,
1525, ENSG00000271355.1, processed_pseudogene, -0.286181289782978, 1.35462826519486, ENSG00000271355.1,,processed_pseudogene,47483698,47484162,
6327, ENSG00000283222.1, miRNA, 0.26177952243933, 0.518076182409193, ENSG00000283222.1,MIR4433A,miRNA,64340759,64340839,
16609, ENSG00000213630.3, processed_pseudogene, -0.262099718173388, 1.28128094706422, ENSG00000213630.3,BOLA3P3,processed_pseudogene,126663337,126663568,
8916, ENSG00000235337.1, lincRNA, 0.26976887667431, -0.241402343660774, ENSG00000235337.1,,lncRNA,220127546,220212491,
9776, ENSG00000230067.3, transcribed_processed_pseudogene, 0.267173507916118, 0.605981645590227, ENSG00000230067.3,HSPD1P6,transcribed_processed_pseudogene,36767117,36784167,
4049, ENSG00000271269.1, processed_pseudogene, 0.217519343962522, -0.204198299408701, ENSG00000271269.1,,processed_pseudogene,182733792,182734779,
8075, ENSG00000275414.1, misc_RNA, 0.268392335835612, 0.37681795973567, ENSG00000275414.1,,misc_RNA,170690564,170690742,
4845, ENSG00000270104.1, lincRNA, -0.260613555436898, -0.569554326982753, ENSG00000270104.1,,lncRNA,228384114,228385016,
10615, ENSG00000241328.1, lincRNA, -0.235246377365295, 0.227585435042432, ENSG00000241328.1,LINC02070,lncRNA,86481943,86496996,
18734, ENSG00000271362.1, processed_pseudogene, 0.244847586421411, -0.573349141139931, ENSG00000271362.1,,processed_pseudogene,33883170,33883411,
2889, ENSG00000272150.5, transcribed_unprocessed_pseudogene, 0.242317804413046, 1.85436262306458, ENSG00000272150.5,NBPF25P,transcribed_unprocessed_pseudogene,145572345,145607858,"NBPF member 25,
3882, ENSG00000238272.1, antisense, 0.390146364242737, -1.46259949832503, ENSG00000238272.1,,lncRNA,173555251,173612772,
1790, ENSG00000271200.1, lincRNA, 0.259315481454118, 1.7387644567299, ENSG00000271200.1,PATJ-DT,lncRNA,61741998,61742424,
10968, ENSG00000251012.2, protein_coding, 0.227423485319732, -1.22667627913882, ENSG00000251012.2,,protein_coding,119147375,119187807,
15848, ENSG00000254701.3, unprocessed_pseudogene, 0.221644917630612, 2.64903651330558, ENSG00000254701.3,,unprocessed_pseudogene,70197255,70207745,"glucuronidase,
15722, ENSG00000251682.1, processed_pseudogene, 0.27035725773406, 1.48278742485367, ENSG00000251682.1,,processed_pseudogene,61347126,61347716,
14886, ENSG00000199540.1, misc_RNA, 0.235265109752419, 1.58150990780895, ENSG00000199540.1,Y_RNA,misc_RNA,144087,144197,
4375, ENSG00000225522.2, processed_pseudogene, 0.262519736752925, 0.403210012408366, ENSG00000225522.2,,processed_pseudogene,204183006,204183537,
15334, ENSG00000266243.1, miRNA, 0.324071175388273, 5.63552669860887, ENSG00000266243.1,MIR4279,miRNA,31936102,31936159,
14543, ENSG00000223037.1, snRNA, 0.267027924462047, 0.225855873697623, ENSG00000223037.1,RNU6-284P,snRNA,164620732,164620837,"RNA, U6 small nuclear 284,
14005, ENSG00000201186.1, snRNA, 0.237592331699137, -0.923456125359018, ENSG00000201186.1,RNU4-33P,snRNA,119367562,119367646,"RNA, U4 small nuclear 33,
10415, ENSG00000239653.1, antisense, 0.234668214379004, -0.992216477667402, ENSG00000239653.1,PSMD6-AS2,lncRNA,64004022,64012148,
14868, ENSG00000250053.1, processed_pseudogene, -0.294401956144321, -1.40597894233703, ENSG00000250053.1,RARRES2P4,processed_pseudogene,190037916,190038399,
18534, ENSG00000223702.1, processed_pseudogene, 0.298380059903286, -0.989338075684712, ENSG00000223702.1,ZDHHC20P2,processed_pseudogene,31380411,31380839,
8452, ENSG00000206836.1, snRNA, 0.199226489701646, 2.0946112502337, ENSG00000206836.1,RNU6-1029P,snRNA,197447745,197447851,"RNA, U6 small nuclear 1029,
7500, ENSG00000202532.1, snRNA, 0.193719855519229, 5.91125807103817, ENSG00000202532.1,RNU6-395P,snRNA,127845236,127845341,"RNA, U6 small nuclear 395,
16145, ENSG00000249061.1, lincRNA, 0.295099838128811, -0.671977886644969, ENSG00000249061.1,,lncRNA,86967321,87137712,
4445, ENSG00000261000.1, lincRNA, 0.217962804398083, 0.482604073065716, ENSG00000261000.1,,lncRNA,206503948,206504456,
9529, ENSG00000234123.1, processed_pseudogene, 0.306163630491206, -1.41322210854546, ENSG00000234123.1,RHBDF1P1,processed_pseudogene,14572852,14574792,
1777, ENSG00000265535.2, misc_RNA, 0.214274430489494, 3.367053757608, ENSG00000265535.2,RN7SL475P,misc_RNA,59974757,59975054,"RNA, 7SL, cytoplasmic 475,
3938, ENSG00000237514.3, processed_pseudogene, 0.233286005176134, -0.670561060241885, ENSG00000237514.3,PTP4A1P7,processed_pseudogene,176616273,176616786,
15360, ENSG00000250583.1, lincRNA, 0.216712919614197, 0.952671489231378, ENSG00000250583.1,,lncRNA,33519616,33522230,
14238, ENSG00000222613.1, misc_RNA, 0.167515720734982, 7.84622153547222, ENSG00000222613.1,Y_RNA,misc_RNA,140779039,140779141,
15285, ENSG00000250079.1, processed_pseudogene, 0.293142351141758, 4.62750471345327, ENSG00000250079.1,,processed_pseudogene,28213359,28214559,"T,
11895, ENSG00000226779.1, antisense, 0.232211418650226, -1.34992753829236, ENSG00000226779.1,NAALADL2-AS2,lncRNA,175234861,175271096,
9043, ENSG00000201044.1, snRNA, 0.299951705065057, 0.890911778031255, ENSG00000201044.1,RNU6-268P,snRNA,230752141,230752247,"RNA, U6 small nuclear 268,
14641, ENSG00000221296.2, miRNA, 0.240743414086132, 0.165150580508905, ENSG00000221296.2,MIR548T,miRNA,173268160,173268233,
15952, ENSG00000242198.1, processed_pseudogene, 0.207268577533331, 2.5136788050657, ENSG00000242198.1,,processed_pseudogene,75374463,75374809,
6634, ENSG00000242118.3, misc_RNA, 0.264502278429468, -1.035940274432, ENSG00000242118.3,RN7SL201P,misc_RNA,81967079,81967374,"RNA, 7SL, cytoplasmic 201,
6992, ENSG00000252845.1, rRNA_pseudogene, 0.237165962584448, -0.134827552679816, ENSG00000252845.1,RNA5SP101,rRNA_pseudogene,96956708,96956815,"RNA,
5248, ENSG00000241128.2, protein_coding, 0.216556312331721, -0.0234268935736769, ENSG00000241128.2,OR14A2,protein_coding,247722957,247724043,
16776, ENSG00000249192.1, processed_pseudogene, 0.254976007308593, -0.0397506682348917, ENSG00000249192.1,MTND3P25,processed_pseudogene,134928393,134928527,
2673, ENSG00000226973.1, unprocessed_pseudogene, 0.178642335241021, 2.19482023476934, ENSG00000226973.1,,unprocessed_pseudogene,115471941,115476027,
1966, ENSG00000285808.1, lincRNA, 0.22104284169926, -0.706503724490792, ENSG00000285808.1,LINC02797,lncRNA,72793104,72854475,
2553, ENSG00000237415.2, processed_pseudogene, 0.232593209644556, 1.62249034156602, ENSG00000237415.2,NRBF2P3,processed_pseudogene,110848077,110848941,
703, ENSG00000201273.1, snRNA, 0.209113812616259, 3.03490463541685, ENSG00000201273.1,RNU6-776P,snRNA,22010985,22011088,"RNA, U6 small nuclear 776,
14158, ENSG00000283432.1, snRNA, 0.208577905528444, 2.10781004262949, ENSG00000283432.1,U6,snRNA,135315418,135315522,
8003, ENSG00000229641.1, processed_pseudogene, 0.2313309916867, 4.19556922958424, ENSG00000229641.1,CYP2C56P,processed_pseudogene,164321933,164322223,"cytochrome P450 family 2 subfamily C member 56,
13426, ENSG00000249717.1, antisense, -0.226425405103231, -0.549828401042692, ENSG00000249717.1,PARM1-AS1,lncRNA,74955974,74970362,
6932, ENSG00000204705.3, unprocessed_pseudogene, 0.19959376358185, 1.07817219839247, ENSG00000204705.3,UBTFL5,unprocessed_pseudogene,95450310,95451500,
11751, ENSG00000243044.1, processed_pseudogene, 0.444545017299581, -1.26295392836722, ENSG00000243044.1,,processed_pseudogene,162601627,162601792,
15994, ENSG00000250802.7, antisense, 0.228496572882893, 0.924052830114124, ENSG00000250802.7,ZBED3-AS1,lncRNA,77086688,77166909,
9984, ENSG00000279017.1, TEC, 0.256911567441595, 1.87022311977088, ENSG00000279017.1,,TEC,45749627,45750651,
3583, ENSG00000226003.2, processed_pseudogene, 0.185487238553166, 0.848715550921173, ENSG00000226003.2,PPIAP37,processed_pseudogene,160848010,160848502,
2286, ENSG00000233129.1, processed_pseudogene, 0.200733120747558, 1.21614893308351, ENSG00000233129.1,,processed_pseudogene,93934479,93935244,
1902, ENSG00000238139.2, processed_pseudogene, 0.254679447655552, -1.18618291193303, ENSG00000238139.2,,processed_pseudogene,67561073,67561446,"poly(A) binding protein,
10249, ENSG00000239557.1, processed_pseudogene, -0.203284421716934, -1.25115262129969, ENSG00000239557.1,PPP2R5CP,processed_pseudogene,52373652,52374882,
5702, ENSG00000187536.4, processed_pseudogene, 0.242374054842487, -1.12858966986663, ENSG00000187536.4,TPM3P7,processed_pseudogene,25809925,25810656,
14551, ENSG00000221891.2, processed_pseudogene, -0.229153238771726, -1.13672126432948, ENSG00000221891.2,FAM218BP,processed_pseudogene,164929494,164929951,"family with sequence similarity 218 member B,
8735, ENSG00000283637.1, miRNA, 0.222441509793853, -1.35312146462084, ENSG00000283637.1,MIR4776-2,miRNA,212926257,212926336,
17873, ENSG00000265083.1, miRNA, 0.20919511903229, 0.726927306398424, ENSG00000265083.1,MIR3691,miRNA,5148233,5148322,
2013, ENSG00000237552.1, lincRNA, 0.204465407286301, 0.251066210125646, ENSG00000237552.1,LINC02567,lncRNA,76758124,76779267,
16270, ENSG00000200884.1, misc_RNA, 0.287956657081695, -1.46227381402518, ENSG00000200884.1,Y_RNA,misc_RNA,96962656,96962757,
4056, ENSG00000226570.2, processed_pseudogene, 0.219884668790365, 0.218826958860877, ENSG00000226570.2,,processed_pseudogene,182955390,182956148,
12894, ENSG00000251332.1, processed_pseudogene, 0.189897330399265, 2.55065126356088, ENSG00000251332.1,PSME2P4,processed_pseudogene,37995494,37996203,
5316, ENSG00000200495.1, snRNA, 0.173564024385202, 5.56140905989181, ENSG00000200495.1,RNU6-1205P,snRNA,248912690,248912795,"RNA, U6 small nuclear 1205,
13568, ENSG00000274154.1, processed_pseudogene, 0.23865515621988, -1.27490105103516, ENSG00000274154.1,,processed_pseudogene,83369416,83369523,
6088, ENSG00000236824.2, scRNA, 0.204357528803083, 1.50803296087261, ENSG00000236824.2,BCYRN1,scRNA,47335315,47335514,
612, ENSG00000265606.1, miRNA, 0.212743562831837, 0.4604693966719, ENSG00000265606.1,MIR4695,miRNA,18883202,18883275,
1439, ENSG00000229815.1, processed_pseudogene, 0.184834841253621, 2.45006254070596, ENSG00000229815.1,CCNB1IP1P1,processed_pseudogene,44958557,44959395,
6322, ENSG00000230923.2, lincRNA, 0.317163480034558, -1.55475768458813, ENSG00000230923.2,LINC00309,lncRNA,64185078,64205485,
4316, ENSG00000232626.3, transcribed_processed_pseudogene, 0.25691919171646, -1.25098771281394, ENSG00000232626.3,,transcribed_processed_pseudogene,202438396,202439957,"FK506 binding protein 8,
14968, ENSG00000259603.1, antisense, 0.243307411626913, -0.758580920475925, ENSG00000259603.1,,lncRNA,3596211,3600188,"novel transcript,
3222, ENSG00000207321.1, snRNA, 0.300481173618424, -1.25489873146548, ENSG00000207321.1,RNU6-160P,snRNA,153331622,153331728,"RNA, U6 small nuclear 160,
15499, ENSG00000270513.1, processed_pseudogene, 0.224457084288611, -1.10880276916896, ENSG00000270513.1,,processed_pseudogene,42729138,42729519,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9,
7627, ENSG00000276460.1, unprocessed_pseudogene, 0.227744823056628, 0.981886537135004, ENSG00000276460.1,,unprocessed_pseudogene,131398439,131401250,"ATPase, H+/K+ transporting, nongastric,
5084, ENSG00000215805.3, processed_pseudogene, 0.196060616399148, -0.264812205273355, ENSG00000215805.3,,processed_pseudogene,239972787,239974245,
7563, ENSG00000271435.1, processed_pseudogene, 0.173693490534369, 1.37970247563463, ENSG00000271435.1,TEKT4P3,processed_pseudogene,130313934,130314411,
13901, ENSG00000241722.2, processed_pseudogene, 0.31158275338539, -1.63215912203445, ENSG00000241722.2,,processed_pseudogene,111551854,111552173,
18492, ENSG00000202241.1, misc_RNA, 0.241945967045315, -0.503013939220758, ENSG00000202241.1,RN7SKP186,misc_RNA,30864250,30864552,
3666, ENSG00000243173.3, misc_RNA, 0.217934863993838, 0.316407486253455, ENSG00000243173.3,RN7SL861P,misc_RNA,162777730,162778014,"RNA, 7SL, cytoplasmic 861,
1867, ENSG00000231622.1, processed_pseudogene, 0.182197760292093, 1.62695878763266, ENSG00000231622.1,RPS29P7,processed_pseudogene,65154480,65154650,
17607, ENSG00000248996.1, antisense, 0.186556083376331, 1.46102695467323, ENSG00000248996.1,PDLIM7-AS1,lncRNA,177494995,177503647,
14526, ENSG00000251123.1, processed_pseudogene, 0.225692759589112, -0.169957669820366, ENSG00000251123.1,,processed_pseudogene,162984795,162985416,
6183, ENSG00000227799.1, processed_pseudogene, 0.220272282212573, 0.649241252965972, ENSG00000227799.1,CDPF1P1,processed_pseudogene,55224280,55225908,
5617, ENSG00000227047.1, lincRNA, 0.229507019025636, 4.89125859244666, ENSG00000227047.1,,lncRNA,20499571,20501311,
15120, ENSG00000248462.1, processed_pseudogene, 0.226315611573704, 0.588016588036942, ENSG00000248462.1,NENFP3,processed_pseudogene,13553654,13553966,
7248, ENSG00000282785.1, transcribed_unprocessed_pseudogene, 0.227809055927227, 0.989744153394442, ENSG00000282785.1,MALLP1,transcribed_unprocessed_pseudogene,110279606,110285681,
255, ENSG00000284744.1, lincRNA, 0.172357912476866, -0.204885062546562, ENSG00000284744.1,,lncRNA,6767954,6770038,
14806, ENSG00000250327.1, processed_pseudogene, 0.291393974608926, -1.22641722941526, ENSG00000250327.1,RPSAP70,processed_pseudogene,186157896,186158843,
3089, ENSG00000259357.2, antisense, 0.261223938941363, -1.17774440247868, ENSG00000259357.2,,lncRNA,150965245,150966256,"novel transcript,
1848, ENSG00000284928.1, lincRNA, 0.179878849244398, 2.76576481512944, ENSG00000284928.1,,lncRNA,64186791,64192685,
11316, ENSG00000214288.4, processed_pseudogene, 0.214036195080842, 2.95522683224045, ENSG00000214288.4,HMGB3P13,processed_pseudogene,134437605,134438211,
10495, ENSG00000244130.1, processed_pseudogene, 0.17222138007454, 5.71013876435652, ENSG00000244130.1,UBE2Q2P9,processed_pseudogene,72006774,72006975,
3489, ENSG00000279111.2, protein_coding, 0.262287436624319, 0.308218522606149, ENSG00000279111.2,OR10X1,protein_coding,158578919,158579899,
11081, ENSG00000276626.1, misc_RNA, 0.181774217501323, 0.109723894658277, ENSG00000276626.1,7SK,misc_RNA,124792319,124792562,
9524, ENSG00000251576.1, lincRNA, 0.209853411470078, 3.18388487817284, ENSG00000251576.1,LINC01267,lncRNA,14348451,14352568,
16623, ENSG00000249577.1, processed_pseudogene, -0.267039803629274, 0.923096078777489, ENSG00000249577.1,,processed_pseudogene,127465822,127466118,
8022, ENSG00000224490.5, processed_transcript, 0.166722983545706, 1.84149465958125, ENSG00000224490.5,TTC21B-AS1,lncRNA,165933857,165949891,
12903, ENSG00000271958.1, lincRNA, 0.206594241795263, 2.95709929052199, ENSG00000271958.1,,lncRNA,38618265,38619437,
